Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
X_9701_30500N,B4,14,PCC_9701,Xenic,COMBO,1551,30500.00
X_9701_30500N,E7,17,PCC_9701,Xenic,COMBO,1551,30500.00
X_9701_30500N,D3,18,PCC_9701,Xenic,COMBO,1551,30500.00
X_9701_40N,E2,13,PCC_9701,Xenic,COMBO,1551,40.50
X_9701_40N,D4,15,PCC_9701,Xenic,COMBO,1551,40.50
X_9701_40N,B7,19,PCC_9701,Xenic,COMBO,1551,40.50
X_9701_425N,C4,12,PCC_9701,Xenic,COMBO,1551,425.00
X_9701_425N,D7,15,PCC_9701,Xenic,COMBO,1551,425.00
X_9701_425N,B2,16,PCC_9701,Xenic,COMBO,1551,425.00
X_MUT_0N,B3,12,MUT_7806,Xenic,COMBO,1551,8.00
X_MUT_0N,B5,13,MUT_7806,Xenic,COMBO,1551,8.00
X_MUT_0N,C7,14,MUT_7806,Xenic,COMBO,1551,8.00
X_MUT_1000N,B7,16,MUT_7806,Xenic,COMBO,1551,883.00
X_MUT_1000N,C3,17,MUT_7806,Xenic,COMBO,1551,883.00
X_MUT_1000N,E5,18,MUT_7806,Xenic,COMBO,1551,883.00
X_MUT_100N,D2,14,MUT_7806,Xenic,COMBO,1551,87.00
X_MUT_100N,D6,18,MUT_7806,Xenic,COMBO,1551,87.00
X_MUT_100N,D5,19,MUT_7806,Xenic,COMBO,1551,87.00
X_MUT_14150N,D6,13,MUT_7806,Xenic,COMBO,1551,14150.00
X_MUT_14150N,C5,16,MUT_7806,Xenic,COMBO,1551,14150.00
X_MUT_14150N,E2,19,MUT_7806,Xenic,COMBO,1551,14150.00
X_MUT_2950N,E7,12,MUT_7806,Xenic,COMBO,1551,2760.00
X_MUT_2950N,C3,15,MUT_7806,Xenic,COMBO,1551,2760.00
X_MUT_2950N,D5,17,MUT_7806,Xenic,COMBO,1551,2760.00
X_MUT_30500N,E5,14,MUT_7806,Xenic,COMBO,1551,30500.00
X_MUT_30500N,D7,17,MUT_7806,Xenic,COMBO,1551,30500.00
X_MUT_30500N,E2,18,MUT_7806,Xenic,COMBO,1551,30500.00
X_MUT_40N,E3,13,MUT_7806,Xenic,COMBO,1551,40.50
X_MUT_40N,D5,15,MUT_7806,Xenic,COMBO,1551,40.50
X_MUT_40N,C6,19,MUT_7806,Xenic,COMBO,1551,40.50
X_MUT_425N,B5,12,MUT_7806,Xenic,COMBO,1551,425.00
X_MUT_425N,B6,15,MUT_7806,Xenic,COMBO,1551,425.00
X_MUT_425N,C2,16,MUT_7806,Xenic,COMBO,1551,425.00
X_NIES_0N,C2,12,NIES_843,Xenic,COMBO,1551,8.00
X_NIES_0N,D5,13,NIES_843,Xenic,COMBO,1551,8.00
X_NIES_0N,C6,14,NIES_843,Xenic,COMBO,1551,8.00
X_NIES_1000N,E6,16,NIES_843,Xenic,COMBO,1551,883.00
X_NIES_1000N,B3,17,NIES_843,Xenic,COMBO,1551,883.00
X_NIES_1000N,E4,18,NIES_843,Xenic,COMBO,1551,883.00
X_NIES_100N,E2,14,NIES_843,Xenic,COMBO,1551,87.00
X_NIES_100N,E7,18,NIES_843,Xenic,COMBO,1551,87.00
X_NIES_100N,B5,19,NIES_843,Xenic,COMBO,1551,87.00
X_NIES_14150N,B7,13,NIES_843,Xenic,COMBO,1551,14150.00
X_NIES_14150N,C4,16,NIES_843,Xenic,COMBO,1551,14150.00
X_NIES_14150N,D3,19,NIES_843,Xenic,COMBO,1551,14150.00
X_NIES_2950N,C7,12,NIES_843,Xenic,COMBO,1551,2760.00
X_NIES_2950N,D3,15,NIES_843,Xenic,COMBO,1551,2760.00
X_NIES_2950N,E5,17,NIES_843,Xenic,COMBO,1551,2760.00
X_NIES_30500N,D4,14,NIES_843,Xenic,COMBO,1551,30500.00
X_NIES_30500N,C7,17,NIES_843,Xenic,COMBO,1551,30500.00
X_NIES_30500N,B3,18,NIES_843,Xenic,COMBO,1551,30500.00
X_NIES_40N,D2,13,NIES_843,Xenic,COMBO,1551,40.50
X_NIES_40N,B5,15,NIES_843,Xenic,COMBO,1551,40.50
X_NIES_40N,E6,19,NIES_843,Xenic,COMBO,1551,40.50
X_NIES_425N,B4,12,NIES_843,Xenic,COMBO,1551,425.00
X_NIES_425N,C6,15,NIES_843,Xenic,COMBO,1551,425.00
X_NIES_425N,E3,16,NIES_843,Xenic,COMBO,1551,425.00
X_WT_0N,C3,12,WT_7806,Xenic,COMBO,1551,8.00
X_WT_0N,B4,13,WT_7806,Xenic,COMBO,1551,8.00
X_WT_0N,D6,14,WT_7806,Xenic,COMBO,1551,8.00
X_WT_1000N,D6,16,WT_7806,Xenic,COMBO,1551,883.00
X_WT_1000N,B2,17,WT_7806,Xenic,COMBO,1551,883.00
X_WT_1000N,C4,18,WT_7806,Xenic,COMBO,1551,883.00
X_WT_100N,C2,14,WT_7806,Xenic,COMBO,1551,87.00
X_WT_100N,B6,18,WT_7806,Xenic,COMBO,1551,87.00
X_WT_100N,E4,19,WT_7806,Xenic,COMBO,1551,87.00
X_WT_14150N,C7,13,WT_7806,Xenic,COMBO,1551,14150.00
X_WT_14150N,D5,16,WT_7806,Xenic,COMBO,1551,14150.00
X_WT_14150N,C2,19,WT_7806,Xenic,COMBO,1551,14150.00
X_WT_2950N,B6,12,WT_7806,Xenic,COMBO,1551,2760.00
X_WT_2950N,C2,15,WT_7806,Xenic,COMBO,1551,2760.00
X_WT_2950N,D4,17,WT_7806,Xenic,COMBO,1551,2760.00
X_WT_30500N,E4,14,WT_7806,Xenic,COMBO,1551,30500.00
X_WT_30500N,C6,17,WT_7806,Xenic,COMBO,1551,30500.00
