Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
X_MUT_310P,D7,25,MUT_7806,Xenic,COMBO,309.5,14000
BLANK,E1,25,Media_CTRL,,COMBO,,
A_WT_3030P,E2,25,WT_7806,Axenic,COMBO,3030,14000
A_9701_3030P,E3,25,PCC_9701,Axenic,COMBO,3030,14000
X_9701_48P,E4,25,PCC_9701,Xenic,COMBO,47.6,14000
X_NIES_48P,E5,25,NIES_843,Xenic,COMBO,47.6,14000
A_NIES_310P,E6,25,NIES_843,Axenic,COMBO,309.5,14000
X_9701_310P,E7,25,PCC_9701,Xenic,COMBO,309.5,14000
BLANK,E8,25,Media_CTRL,,COMBO,,
BLANK,B1,26,Media_CTRL,,COMBO,,
A_WT_310P,B2,26,WT_7806,Axenic,COMBO,309.5,14000
X_NIES_310P,B3,26,NIES_843,Xenic,COMBO,309.5,14000
X_9701_1551P,B4,26,PCC_9701,Xenic,COMBO,1551.6,14000
A_NIES_1551P,B5,26,NIES_843,Axenic,COMBO,1551.6,14000
X_WT_100P,B6,26,WT_7806,Xenic,COMBO,100,14000
A_NIES_100P,B7,26,NIES_843,Axenic,COMBO,100,14000
BLANK,B8,26,Media_CTRL,,COMBO,,
A_NIES_310P,C2,26,NIES_843,Axenic,COMBO,309.5,14000
A_MUT_310P,C3,26,MUT_7806,Axenic,COMBO,309.5,14000
X_WT_1551P,C4,26,WT_7806,Xenic,COMBO,1551.6,14000
A_WT_1551P,C5,26,WT_7806,Axenic,COMBO,1551.6,14000
X_9701_100P,C6,26,PCC_9701,Xenic,COMBO,100,14000
A_MUT_100P,C7,26,MUT_7806,Axenic,COMBO,100,14000
A_9701_310P,D2,26,PCC_9701,Axenic,COMBO,309.5,14000
X_9701_310P,D3,26,PCC_9701,Xenic,COMBO,309.5,14000
A_MUT_1551P,D4,26,MUT_7806,Axenic,COMBO,1551.6,14000
A_9701_1551P,D5,26,PCC_9701,Axenic,COMBO,1551.6,14000
X_MUT_100P,D6,26,MUT_7806,Xenic,COMBO,100,14000
A_WT_100P,D7,26,WT_7806,Axenic,COMBO,100,14000
BLANK,E1,26,Media_CTRL,,COMBO,,
X_MUT_310P,E2,26,MUT_7806,Xenic,COMBO,309.5,14000
X_WT_310P,E3,26,WT_7806,Xenic,COMBO,309.5,14000
X_NIES_1551P,E4,26,NIES_843,Xenic,COMBO,1551.6,14000
X_MUT_1551P,E5,26,MUT_7806,Xenic,COMBO,1551.6,14000
A_9701_100P,E6,26,PCC_9701,Axenic,COMBO,100,14000
X_NIES_100P,E7,26,NIES_843,Xenic,COMBO,100,14000
BLANK,E8,26,Media_CTRL,,COMBO,,
BLANK,B1,27,Media_CTRL,,COMBO,,
X_9701_171P,B2,27,PCC_9701,Xenic,COMBO,171.1,14000
A_9701_171P,B3,27,PCC_9701,Axenic,COMBO,171.1,14000
X_9701_100P,B4,27,PCC_9701,Xenic,COMBO,100,14000
X_NIES_100P,B5,27,NIES_843,Xenic,COMBO,100,14000
A_MUT_10P,B6,27,MUT_7806,Axenic,COMBO,9.6,14000
X_9701_10P,B7,27,PCC_9701,Xenic,COMBO,9.6,14000
BLANK,B8,27,Media_CTRL,,COMBO,,
X_WT_171P,C2,27,WT_7806,Xenic,COMBO,171.1,14000
