"","Culture","State","P_ug_L","Plate","Well","Treatment_name","gr_chlA_mean","gr_PC_mean","gr_chlA_sd","gr_pc_sd","n_obs","gr_chlA_se","gr_pc_se","chlA_upper_cl","chlA_lower_cl","pc_upper_cl","pc_lower_cl","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","slope","growthrate_corrected","gr_pc_se_corrected"
"34","MUT_7806","Xenic",18.7,20,"B5","X_MUT_19P",0.217300563609091,0.501821920123504,0.339604929949872,0.101848344798995,5,0.151875941772394,0.045547964473278,0.369176505381485,0.0654246218366975,0.547369884596782,0.456273955650226,0.307104993979486,0.297390498448374,-0.00971449553111195,28.3756586194051,0.000465532091408278,2.10692153078669,0.276569479323962,Inf,"Welch Two Sample t-test","greater",0.297390498448374,0.501821920123504,0.045547964473278
"35","MUT_7806","Xenic",18.7,23,"B6","X_MUT_19P",0.212141676930362,0.419326882916461,0.113298970659997,0.0848610231118722,5,0.0506688400353013,0.0379510032636654,0.262810516965663,0.16147283689506,0.457277886180127,0.381375879652796,0.307104993979486,0.297390498448374,-0.00971449553111195,28.3756586194051,0.000465532091408278,2.10692153078669,0.276569479323962,Inf,"Welch Two Sample t-test","greater",0.297390498448374,0.419326882916461,0.0379510032636654
"36","MUT_7806","Xenic",18.7,24,"C2","X_MUT_19P",0.179424359837808,0.450305171376138,0.0930244418592047,0.160748254199562,5,0.0416017951132317,0.0718888047309275,0.22102615495104,0.137822564724576,0.522193976107065,0.37841636664521,0.307104993979486,0.297390498448374,-0.00971449553111195,28.3756586194051,0.000465532091408278,2.10692153078669,0.276569479323962,Inf,"Welch Two Sample t-test","greater",0.297390498448374,0.450305171376138,0.0718888047309275
"37","MUT_7806","Xenic",47.6,20,"E7","X_MUT_48P",0.344111039042275,0.54374504318749,0.136259871733949,0.144402028181308,5,0.0609372671605023,0.0645785502204488,0.405048306202778,0.283173771881773,0.608323593407939,0.479166492967041,0.358237998323254,0.348523502792142,-0.00971449553111195,122.509129849602,1.05608680964401e-09,4.68921406184904,0.35225827377305,Inf,"Welch Two Sample t-test","greater",0.348523502792142,0.54374504318749,0.0645785502204488
"38","MUT_7806","Xenic",47.6,23,"C3","X_MUT_48P",0.21926699252478,0.434165332773468,0.24884993653022,0.0221160899788588,5,0.111289074855616,0.00989061611784603,0.330556067380396,0.107977917669164,0.444055948891314,0.424274716655622,0.358237998323254,0.348523502792142,-0.00971449553111195,122.509129849602,1.05608680964401e-09,4.68921406184904,0.35225827377305,Inf,"Welch Two Sample t-test","greater",0.348523502792142,0.434165332773468,0.00989061611784603
"39","MUT_7806","Xenic",47.6,25,"D5","X_MUT_48P",0.245755131008777,0.529959769945767,0.229719781106451,0.0521387862709455,5,0.102733809266079,0.0233171740732334,0.348488940274857,0.143021321742698,0.553276944019,0.506642595872534,0.358237998323254,0.348523502792142,-0.00971449553111195,122.509129849602,1.05608680964401e-09,4.68921406184904,0.35225827377305,Inf,"Welch Two Sample t-test","greater",0.348523502792142,0.529959769945767,0.0233171740732334
"40","MUT_7806","Xenic",100,22,"D2","X_MUT_100P",0.293971438053742,0.478107780251134,0.240230763106138,0.0874509091627312,5,0.107434463318395,0.0391092355164053,0.401405901372137,0.186536974735348,0.517217015767539,0.438998544734729,0.376985277429824,0.367270781898712,-0.00971449553111195,96.5602786660013,8.61587012985779e-07,3.09621202035618,0.367912640238964,Inf,"Welch Two Sample t-test","greater",0.367270781898712,0.478107780251134,0.0391092355164053
"41","MUT_7806","Xenic",100,26,"D6","X_MUT_100P",0.317695144083376,0.496531576348917,0.213307402057602,0.0772940252173023,5,0.0953939702209353,0.0345669389280942,0.413089114304311,0.22230117386244,0.531098515277011,0.461964637420823,0.376985277429824,0.367270781898712,-0.00971449553111195,96.5602786660013,8.61587012985779e-07,3.09621202035618,0.367912640238964,Inf,"Welch Two Sample t-test","greater",0.367270781898712,0.496531576348917,0.0345669389280942
"42","MUT_7806","Xenic",100,27,"D5","X_MUT_100P",0.175484031884831,0.492093729217865,0.167007001517235,0.025644860017615,5,0.0746878016221896,0.0114687300545707,0.250171833507021,0.100796230262642,0.503562459272436,0.480624999163294,0.376985277429824,0.367270781898712,-0.00971449553111195,96.5602786660013,8.61587012985779e-07,3.09621202035618,0.367912640238964,Inf,"Welch Two Sample t-test","greater",0.367270781898712,0.492093729217865,0.0114687300545707
"43","MUT_7806","Xenic",171.1,21,"D6","X_MUT_171P",0.361113877781654,0.47007534390937,0.229706251964321,0.0288211914310915,5,0.102727758849783,0.012889228646491,0.463841636631437,0.258386118931871,0.482964572555861,0.457186115262879,0.403977269443272,0.39426277391216,-0.00971449553111195,37.7725972461082,0.000253033390540877,2.10959575655779,0.373826841624599,Inf,"Welch Two Sample t-test","greater",0.39426277391216,0.47007534390937,0.012889228646491
"44","MUT_7806","Xenic",171.1,24,"C5","X_MUT_171P",0.372400312085338,0.484674230762311,0.0921439379490583,0.0200702598639957,5,0.0412080217937234,0.00897569307639601,0.413608333879061,0.331192290291614,0.493649923838707,0.475698537685915,0.403977269443272,0.39426277391216,-0.00971449553111195,37.7725972461082,0.000253033390540877,2.10959575655779,0.373826841624599,Inf,"Welch Two Sample t-test","greater",0.39426277391216,0.484674230762311,0.00897569307639601
"45","MUT_7806","Xenic",171.1,27,"E2","X_MUT_171P",0.378672730688049,0.544786827749162,0.167016524629188,0.0704900077320637,5,0.0746920604873264,0.0315240898046761,0.453364791175376,0.303980670200723,0.576310917553838,0.513262737944486,0.403977269443272,0.39426277391216,-0.00971449553111195,37.7725972461082,0.000253033390540877,2.10959575655779,0.373826841624599,Inf,"Welch Two Sample t-test","greater",0.39426277391216,0.544786827749162,0.0315240898046761
"46","MUT_7806","Xenic",309.5,22,"E5","X_MUT_310P",0.218031983797264,0.496636771591611,0.22295098586473,0.0687167971672417,5,0.0997067120088264,0.0307310859324035,0.317738695806091,0.118325271788438,0.527367857524014,0.465905685659207,0.398293101456853,0.388578605925741,-0.00971449553111195,92.9309954862856,2.32241192405655e-06,2.85559572617106,0.387995443902677,Inf,"Welch Two Sample t-test","greater",0.388578605925741,0.496636771591611,0.0307310859324035
"47","MUT_7806","Xenic",309.5,25,"D7","X_MUT_310P",0.256101377969026,0.513157723267727,0.341280328670291,0.0809147853766892,5,0.152625202858048,0.0361861920974166,0.408726580827074,0.103476175110978,0.549343915365144,0.476971531170311,0.398293101456853,0.388578605925741,-0.00971449553111195,92.9309954862856,2.32241192405655e-06,2.85559572617106,0.387995443902677,Inf,"Welch Two Sample t-test","greater",0.388578605925741,0.513157723267727,0.0361861920974166
"48","MUT_7806","Xenic",309.5,26,"E2","X_MUT_310P",0.142051451526289,0.477085056164907,0.230758135144167,0.0287606512923956,5,0.103198175308688,0.0128621542733928,0.245249626834977,0.0388532762176005,0.489947210438299,0.464222901891514,0.398293101456853,0.388578605925741,-0.00971449553111195,92.9309954862856,2.32241192405655e-06,2.85559572617106,0.387995443902677,Inf,"Welch Two Sample t-test","greater",0.388578605925741,0.477085056164907,0.0128621542733928
